Date,emeteur,recepteur,Prix TTC
2017-02-10,cc_cooptl,virement,"1025,74"
2017-02-20,cc_cooptl,virement,"769,31"
2017-02-28,cc_cooptl,virement,"769,31"
2017-03-10,cc_cooptl,virement,"1041,77"
2017-03-20,cc_cooptl,virement,"781,33"
2017-03-31,cc_cooptl,virement,"781,32"
2017-04-10,cc_cooptl,virement,1664
2017-04-20,cc_cooptl,virement,1248
2017-04-28,cc_cooptl,virement,1248
2017-05-10,cc_cooptl,virement,"1765,38"
2017-05-22,cc_cooptl,virement,"1324,04"
2017-05-31,cc_cooptl,virement,"1324,03"
2017-06-12,cc_cooptl,virement,"1979,1"
2017-06-20,cc_cooptl,virement,"1409,33"
2017-06-30,cc_cooptl,virement,"1409,32"
2017-07-10,cc_cooptl,virement,"1654,04"
2017-07-20,cc_cooptl,virement,"1240,53"
2017-07-31,cc_cooptl,virement,"1240,52"
2017-08-10,cc_cooptl,virement,"1840,92"
2017-08-21,cc_cooptl,virement,"1380,69"
2017-08-31,cc_cooptl,virement,"1380,7"
2017-09-11,cc_cooptl,virement,"1619,39"
2017-09-20,cc_cooptl,virement,"1214,54"
2017-09-29,cc_cooptl,virement,"1214,55"
2017-10-10,cc_cooptl,virement,"1914,44"
2017-10-20,cc_cooptl,virement,"1435,83"
2017-10-31,cc_cooptl,virement,"1435,84"
2017-11-10,cc_cooptl,virement,"2145,14"
2017-11-20,cc_cooptl,virement,"1608,86"
2017-11-30,cc_cooptl,virement,"1608,86"
2017-12-11,cc_cooptl,virement,"1701,53"
2017-12-20,cc_cooptl,virement,"1276,15"
2017-12-29,cc_cooptl,virement,"1276,15"
2018-01-10,cc_cooptl,virement,"1446,33"
2018-01-22,cc_cooptl,virement,"1084,75"
2018-01-31,cc_cooptl,virement,"1084,74"
