Date,Tiers,Reference,mode paiement,Prix TTC,Date si différente
2015-01-20,CHARENTES ELLIANCE,20150120001,cc_coopca,"394,01",
2015-01-25,CHARENTES ELLIANCE,20150125002,cc_coopca,"1619,95",
2015-01-10,TERRILACTI,201501456,cc_cooptl,"1619,95",
2015-02-10,VITIS,202036,virement,"5459,62",
2015-03-12,VITIS,202056,virement,"7603,91",
2016-01-22,CHARENTES ELLIANCE,2016FVCP01,cc_coopca,"3228,3",
2017-01-30,TERRILACTI,2017015026600,cc_cooptl,"2591,17",
2017-02-10,TERRILACTI,2017025026600,cc_cooptl,800,
2017-02-20,TERRILACTI,2017025026600,cc_cooptl,800,
2017-02-27,TERRILACTI,2017025026600,cc_cooptl,"1035,51",
2017-03-10,TERRILACTI,2017035026600,cc_cooptl,1500,
2017-03-20,TERRILACTI,2017035026600,cc_cooptl,1500,
2017-03-31,TERRILACTI,2017035026600,cc_cooptl,"1211,41",
2017-02-28,CHARENTES ELLIANCE,91641569,cc_coopca,215,
2017-02-28,CHARENTES ELLIANCE,91635685,cc_coopca,"1102,52",
2017-02-28,CHARENTES ELLIANCE,91632700,cc_coopca,"371,02",
2017-02-28,CHARENTES ELLIANCE,91640403,cc_coopca,328,
2017-06-30,CHARENTES ELLIANCE,91782135,cc_coopca,"7901,66",
2018-01-01,CHARENTES ELLIANCE,2018FVCP01,cc_coopca,"2241,88",
2018-01-31,TERRILACTI,2018015026600,cc_cooptl,"2832,11",
2018-02-28,TERRILACTI,2018025026600,cc_cooptl,"3091,1",
2018-03-31,TERRILACTI,2018035026600,cc_cooptl,"3773,05",
