Date,Tiers,Reference,variant_nomen,quantité,Prix unitaire HT,Taux TVA,Description
2015-01-20,CHARENTES ELLIANCE,20150120001,wheat_grain,"2,11",177,"5,5",Blé tendre 2014
2015-01-25,CHARENTES ELLIANCE,20150125002,hard_wheat_grain,"4,15",370,"5,5",Blé dur 2014
2015-01-10,TERRILACTI,201501456,LAIT_VACHE_1000L,32256,"0,33","5,5",Lait
2015-02-10,VITIS,202036,wine,"11,5",450,"5,5",
2015-03-12,VITIS,202056,wine,"15,5",465,"5,5",
2016-01-01,CHARENTES ELLIANCE,2016FVCP01,wheat_grain,153,20,"5,5",Blé tendre 2015 CP
2017-02-28,CHARENTES ELLIANCE,91641569,barley_grain,"19,545",10,10,Orge Brasserie R2016
2017-02-28,CHARENTES ELLIANCE,91635685,wheat_grain,"100,229",10,10,Blé tendre R2016
2017-02-28,CHARENTES ELLIANCE,91632700,hard_wheat_grain,"33,729",10,10,Blé de force R2016
2017-02-28,CHARENTES ELLIANCE,91640403,barley_grain,"59,637",5,10,Orge Brasserie R2016
2017-01-31,TERRILACTI,2017015026600,LAIT_VACHE_1000L,"6,77","364,567","5,5",Lait Janvier 2017
2017-01-31,TERRILACTI,2017015026600,milk_taxe,"6,77","-0,107",0,Cotisation CNIEL
2017-01-31,TERRILACTI,2017015026600,milk_taxe,"6,77","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-01-31,TERRILACTI,2017015026600,milk_taxe,"6,77","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-02-27,TERRILACTI,2017025026600,LAIT_VACHE_1000L,"7,94","316,443","5,5",Lait Février 2017
2017-02-27,TERRILACTI,2017025026600,milk_taxe,"7,94","-0,107",0,Cotisation CNIEL
2017-02-27,TERRILACTI,2017025026600,milk_taxe,"7,94","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-02-27,TERRILACTI,2017025026600,milk_taxe,"7,94","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-03-31,TERRILACTI,2017035026600,LAIT_VACHE_1000L,"12,926","310,586","5,5",Lait Mars 2017
2017-03-31,TERRILACTI,2017035026600,milk_taxe,"12,926","-0,107",0,Cotisation CNIEL
2017-03-31,TERRILACTI,2017035026600,milk_taxe,"12,926","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-03-31,TERRILACTI,2017035026600,milk_taxe,"12,926","-0,36",20,Cotisation Beurre AOP Chtes Poitou
