N° de la commande;Date de la commande;Libellé famille;Libellé sous-famille;Libellé article;Qté commandée;Qté livrée;Prix unitaire;Statut
0001559634;04/09/2017;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,05;0,05;224,00;Liquidé
0001551686;22/08/2017;ALIMENTS;Bovins viande;BIO RUM PASSIO 2.5l GVQ alc;5,94;5,94;518,80;Liquidé
0001499470;07/06/2017;SEMENCES;SARRASIN SEM;SARRASIN LA HARPE BIO S25KG;1,25;1,25;325,00;Liquidé
0001489436;29/05/2017;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;3,90;3,90;306,18;Liquidé
0001489436;29/05/2017;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,04;1 173,86;Liquidé
0001489436;29/05/2017;ALIMENTS;Bovins viande;BIO RUM PASSIO 2.5l GVQ alc;5,06;5,06;513,24;Liquidé
0062877796;29/05/2017;SEMENCES;Graminées fourragère;INOCULUM SOJA F48  DOSE;-1,00;-1,00;34,50;Liquidé
0062877796;29/05/2017;SEMENCES;SOJA SEM;SOJA S ES SENATOR R1 NONTRAITE D125;-4,00;-4,00;54,64;Liquidé
0062877798;29/05/2017;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;-0,10;-0,10;224,00;Liquidé
0001478121;16/05/2017;FERTILISANTS;Amendements;ORGA'VIO 10-4-0 AB BB500KG;2,00;2,00;290,28;Liquidé
0001469284;05/05/2017;SEMENCES;Graminées fourragère;INOCULUM SOJA F48  DOSE;3,00;3,00;34,50;Liquidé
0001464234;02/05/2017;SEMENCES;Graminées fourragère;INOCULUM SOJA F48  DOSE;5,00;5,00;34,50;Liquidé
0001464234;02/05/2017;SEMENCES;SOJA SEM;SOJA S ES SENATOR R1 NONTRAITE D125;45,00;45,00;54,64;Liquidé
0001464234;02/05/2017;SEMENCES;SOJA SEM;SOJA S ES SENATOR R1 NONTRAITE D125;3,00;3,00;54,64;Liquidé
0001451886;19/04/2017;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;82,15;Liquidé
0001448654;14/04/2017;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,15;0,15;224,00;Liquidé
0001448654;14/04/2017;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL PRO ENSIGAMM 8Mx35M;1,00;1,00;74,10;Liquidé
0001448574;13/04/2017;ALIMENTS;Bovins viande;BIO RUM PASSIO 2.5l GVQ alc;6,00;0,00;518,80;A livrer
0001440749;06/04/2017;SEMENCES;Graminées fourragère;INOCULUM SOJA F48  DOSE;8,00;0,00;34,50;Liquidé
0001440749;06/04/2017;SEMENCES;SOJA SEM;SOJA S ES SENATOR R1 NONTRAITE D125;48,00;0,00;54,64;Liquidé
0001440759;06/04/2017;FERTILISANTS;Amendements;ORGA'VIO 10-4-0 AB BB500KG;8,00;0,00;284,48;A livrer
0001425916;24/03/2017;FERTILISANTS;Engrais;SULF.AMMO. GRANULAR  VRAC;2,13;2,13;262,00;Liquidé
0001425916;24/03/2017;LOGISTIQUE AGROFOURN;Mélange;MELANGE ENGRAIS;5,96;5,96;7,60;Liquidé
0001426438;24/03/2017;FERTILISANTS;Engrais;SULF.AMMO. GRANULAR  VRAC;2,16;2,16;262,00;Liquidé
